Index, Name, Address, Verified, Total (w), First (w), Last (w), New 1 (w), New 2 (w), Total (e), First (e), Last (e), New 1 (e), New 2 (e)
1, Animals Red List, EQAA1yvDaDwEK5vHGOXRdtS2MbOVd1-TNy01L1S_t2HF4oLu, true, 13333, EQCjfCOvzWh0sO4C_UlCqP8c3QHwNeQQyswUdWJROyJcHTfa, EQDRm-KWd5Lk48i2GAfuVXD2eFgxhd78cAThGaPqtYFL2Ywg, EQDl3u1OXFV2HdpcoYvwLWQINTmiVQq7UTfAJcnaQy7quiW_, EQBkk6LjSHlvCT-jALFU-5GOE3OFNn0UOobYx3eNmYXkhTMM, , , , , 
2, TON Punks 💎, EQAo92DYMokxghKcq-CkCGSk_MgXY5Fo1SPW20gkvZl75iCN, true, 5149, EQCunKWfEsKkdhSXZAEWDpck8rSvcIjV_V_6CBA6UsI0XRBu, EQAg0Hr0toUExSGfeJGqO9_H7mVzAIavYr1mwEQBDX8KGKJE, EQDCYogs2N3XG-2kO5MQyQT97F_JOfBnjxMsnytqYUN08Yz-, EQDzPwACrDSVV4-VQU9BTJf9MZgnAgCKeFkLM8-Z8b2CT8tx, , , , , 
3, TON Diamonds, EQAG2BH0JlmFkbMrLEnyn2bIITaOSssd4WdisE4BdFMkZbir, true, 10000, EQCoADmGFboLrgOCDSwAe-jI-lOOVoRYllA5F4WeIMokINW8, EQBMZylR1W3Bqmpb_PmhkRwtNWkgiWit0Bu0eYhzulVk_TRB, EQBHT7XH672fCm4UvVnKO5yXylhZ9BxoelLaSVQ9evdG3CFg, EQCG1T8AnDxe5b16LlbgPDW3lB_TQvS9PfXb4hNGABxjgnuH, , , , , 
4, Rich Cats, EQCvYf5W36a0zQrS_wc6PMKg6JnyTcFU56NPx1PrAW63qpvt, true, 2500, EQCZLzCnJuXCBktkb5IiqANbgThvqo2hYXjpupdTe5yHV6oY, EQCMCQKw6nuzLPvxUwFsE3aGDnxB76OVhyk2I-3ZGa6VRX-N, EQAnPjJbykD6x2OVJ-39FxAP8gMNYUE8RAK0LM8G7-s83Y0L, EQATJHaYBJlEQkr3b_9tnYO2w0rcupWG9xHwKBh75ous-Yuj, , , , , 
5, G-BOTS SD, EQDgZmQpDJbO6laHvvibaXYXMlEAYEH6LnUtA5J19W18dENp, true, 6666, EQC4tfrAWZuMHNHJIb0oMHdRAk-AfUnanR369h8IvhCDLpTP, EQAxXaReOJYli5nKI-B5LEeGDuk3b_TMwXJOiW4QUJx9pZAj, EQCPJUjpwwK5RI_T-dx8Yv494F9BQ7jfT2IEShz28sMena8G, EQBjOCpMf7grWD_x9qMWSPMBkrvyUXfKg2kWHQVBvG33GvKQ, , , , , 
6, Toned Ape Club!, EQCzuSjkgUND61l7gIH3NvVWNtZ0RX1hxz1rWnmJqGPmZh7S, true, 3033, EQB-fEgvf6pFG4Qsizc9oRex_mI80pQladGG8XoDVhK7UW2z, EQBdoHm3Tj9P12BujoFRtpiHkIhPVo4Py4f6euYdVlfhO3Q9, EQDE2i61SGfJg_svyQJhnQZOFnifVTGaD2eRvslobsJhPgG0, EQAV6PikdAwfEtGxFY4BPUSdb5QgNtzYL3KXGWdYbrnSowJS, , , , , 
7, Whales Club, EQDvRFMYLdxmvY3Tk-cfWMLqDnXF_EclO2Fp4wwj33WhlNFT, true, 1521, EQD6ufFjSIUJSkbVuV7w00ORT8UvoMLQ9RDZ1lJ8sYh3cOIx, EQBFAR7I5zjOLy6sxfavXGjFoAQl_XOjZhHQeh7uOFUOQP74, EQDxT5zi6iUXje6AKxFAgOVvDecZ2abSyxwP2tEkny_m3WDw, EQA443OsOs3dfd9yaJO8Hblq4sofCRDrwcnCFF0JIXe5kFO-, , , , , 
8, Annihilation, EQB8D8A9OoDoRmL7qVbUBrd_po9vNKcl44HCSw6b-c3nvcj9, true, 1000, EQAJz5eQ3WkAVusG1uOBlkb1clmndhClaJW2Fw5Or1klC4_m, EQAR28byEV9Gq8Sa_Ejdce0eOAVjccctCNuN1IG3qPnWMdBd, EQA0jpIW-eKvoVq3RARXYDGnnbXPyS-YeX9WnJazaxjEWtFk, EQBrr1jdAlsXxAe09Da-E9Vjnp2gUYORria29CBCm4R8EC4z, , , , , 
9, TON DOODLES, EQBdHpUa1u3IVs1b3xfjpSlXVD5lkNsfIcJMqtXu1IJ0rLHK, true, 5555, EQAla13BpPreTJkVap-gOOUbObLFytqkdR3XC25PWKdohcWP, EQB8--QWUoffyg0kt-lFwZ9iGN92tBSo6RRdfqK0y6DETAGs, EQD_aljbaO_pHK6ZTu-CLFcyytMR5qBeMIrmsioSqPii0G2P, EQAD1om9w1e4BvmH6X_f36jWFNAkoMHovkyYgGJFjjlpGoBy, , , , , 
10, Mintosaurs, EQAzkaVZCp62HBz8KveKM0n_ju8Z2TTbDKHrEipSEVvXJ58Z, true, 2096, EQD3cbwHDHHhlWuCcEHuv2RWds8bz0wNRGbKJ98x7fq5yz94, EQCEBW8dtkAhjbV3F8HDODcyOrTa20u50sQobvo_PMZMSurt, EQAvyr_m2Cj0DYB-OxgxvYM6mon5x3a_J1kVEOZnUfQtvUcZ, EQD0OMH75xIz8rbhr6v8C1KsOfiBzFsQAg4XtigQJ9YKJ9zK, , , , , 
